numero_cta,nivel,tipo_cta,nombre
10000000,1,1,Activos
11000000,2,1,Efectivo en Caja y Bancos
11010000,3,1,EFECTIVO EN CAJA
11010001,4,1,CAJA GENERAL
11010002,4,1,CAJA CHICA OCOA
11010003,4,1,CAJA CHICA STO. DGO.
11020000,3,1,CAJA GENERAL RD$ Y US$ SD
11020002,4,1,CAJA US$
11020003,4,1,PRIMA CAJA US$
11020004,4,1,TRANSFERENCIA BANCARIA
11030000,3,1,EFECTIVO EN BANCOS RD$
11030001,4,1,BANCO DEL PROGRESO OCOA
11030002,4,1,BANCO POPULAR - OCOA
11030003,4,1,BANCO DE RESERVAS
11030004,4,1,BANCO DEL PROGRESO CTA 411-001856-2
11030006,3,1,CUENTA EN US$ BPD
11030007,3,1,CUENTA PRIMA BPD NEW YORK
11030008,3,1,CUENTA EN US$ BCO. DEL PROGRESO
11030009,3,1,PRIMA CTA US$ BANCO DEL PROGRESO
11030010,4,1,BANCO DE RESERVAS OCOA
11030011,4,1,CUENTA RD$ SCOTIABANK
11030012,4,1,CUENTA RD$ SCOTIABANK OCOA
11050000,3,1,EFECTIVO EN BANCOS US$ SD
11050001,4,1,BANCO UNION
11050002,4,1,DRESDNER LATEINAMERICA BANK AG
11050003,4,1,BPD INTERNATIONAL BANK
11050004,4,1,PRIMA EN COMPRA DE DIVISAS
11050005,4,1,CUENTA US$ SCOTIABANK
11050006,4,1,PRIMA CTA US$ SCOTIABANK
12000000,2,1,Documentos y Cuentas por Cobrar
12010000,3,1,DOCUMENTOS X COBRAR CLIENTES Ocoa
12010001,4,1,CUENTAS X COBRAR CLIENTES RD$
12010002,4,1,CUENTAS POR COBRAR CLIENTES US$
12010003,4,1,PRIMA CUENTAS POR COBRAR CLIENTES US$
12020000,3,1,RESERVAS CUENTAS POR COBRAR
12020001,4,1,RESERVAS CUENTAS POR COBRAR
12030000,3,1,COSECHEROS E INTERMEDIARIOS Ocoa
12030001,4,1,COSECHEROS E INTERMEDIARIOS Ocoa
12030002,4,1,CARGA INICIAL BALANCES COSECHEROS
12030003,4,1,FIJACION DE PRECIO CAFE POR PAGAR
12040000,3,1,CUENTAS POR COBRAR VARIAS
12040001,4,1,CUENTAS POR COBRAR VARIAS
12040002,4,1,CUENTAS  POR COBRAR VARIAS
12040003,4,1,CUENTA POR COBRAR TERRENOS
12050000,3,1,FUNCIONARIOS Y EMPLEADOS  SD
12050001,4,1,FUNCIONARIOS Y EMPLEADOS  SD
12050002,4,1,CUENTAS POR COBRAR JUAN MANUEL THOMAS
12050003,4,1,CUENTA POR COBRAR A DALMARE
12050004,4,1,CUENTAS POR COBRAR DOÑA AYDA RAMIREZ
